lines,APs,time
100,1,27
100,6,25
100,11,25
100,16,24
100,21,25
100,26,25
100,31,24
100,36,23
100,41,24
100,46,23
100,51,24
100,56,23
100,61,23
100,66,24
100,71,23
100,76,24
100,81,24
100,86,23
100,91,23
100,96,24
200,1,83
200,11,86
200,21,83
200,31,84
200,41,85
200,51,84
200,61,84
200,71,85
200,81,86
200,91,86
200,101,84
200,111,87
200,121,85
200,131,89
200,141,91
200,151,87
200,161,89
200,171,91
200,181,86
200,191,87
300,1,184
300,16,192
300,31,194
300,46,189
300,61,189
300,76,193
300,91,198
300,106,198
300,121,194
300,136,194
300,151,194
300,166,194
300,181,194
300,196,192
300,211,196
300,226,192
300,241,196
300,256,192
300,271,192
300,286,191
400,1,337
400,21,331
400,41,356
400,61,364
400,81,356
400,101,354
400,121,353
400,141,359
400,161,356
400,181,357
400,201,354
400,221,363
400,241,357
400,261,357
400,281,358
400,301,363
400,321,355
400,341,356
400,361,348
400,381,339
500,1,503
500,26,508
500,51,522
500,76,515
500,101,529
500,126,526
500,151,518
500,176,517
500,201,509
500,226,530
500,251,521
500,276,533
500,301,528
500,326,530
500,351,529
500,376,531
500,401,520
500,426,528
500,451,541
500,476,527
600,1,747
600,31,730
600,61,749
600,91,757
600,121,737
600,151,749
600,181,756
600,211,736
600,241,750
600,271,762
600,301,746
600,331,746
600,361,743
600,391,742
600,421,769
600,451,746
600,481,769
600,511,761
600,541,752
600,571,766
700,1,1013
700,36,1005
700,71,999
700,106,1000
700,141,1008
700,176,1013
700,211,1031
700,246,1029
700,281,1007
700,316,1016
700,351,1039
700,386,1048
700,421,1030
700,456,1027
700,491,1046
700,526,1065
700,561,1022
700,596,1038
700,631,1054
700,666,1033
800,1,1293
800,41,1321
800,81,1339
800,121,1334
800,161,1333
800,201,1322
800,241,1351
800,281,1336
800,321,1321
800,361,1348
800,401,1360
800,441,1316
800,481,1371
800,521,1341
800,561,1356
800,601,1374
800,641,1399
800,681,1364
800,721,1354
800,761,1404
900,1,1669
900,46,1683
900,91,1735
900,136,1729
