MAC1,MAC2,duration,frequency
0012f0bbb688,000cf1d99fc5,9,4
000cf1d99fc5,000e35fe55ae,1,1
000393a9428e,000e3528f323,11.3333333333333,3
0012f082b0ae,0012f0bbb688,46.9901477832512,609
0012f082b0ae,000cf1d99fc5,33,4
0012f04d7fdc,0012f0b38047,93.9523809523809,126
0012f082b0ae,000625e449be,205.985365853659,205
0012f0c6a17f,000625e449be,62,331
0012f0c6a17f,000e35fe55ae,27.4722222222222,36
000625e449be,000e35fe55ae,383.833333333333,12
000625e449be,00ae42fbe382,542.5,28
000625e449be,0012f0a4b124,242.317073170732,41
00ae42fbe382,0012f0a4b124,334.444444444444,9
001217c93e63,00028a236470,883.351851851852,54
00ae42fbe382,00028a236470,857.25,8
00ae42fbe382,000d88dd803a,126,1
00ae42fbe382,000e35c35bc3,225.5,2
000d88dd803a,000e35c35bc3,3502,1
000423fc5b7f,000af4b7acda,51.75,8
000423fc5b7f,000fb5ec34a6,123.5,2
000af4b7acda,000fb5ec34a6,60.3658536585366,82
0040966eda31,000fb5ec34a6,34.4285714285714,7
0040966eda31,000af4b7acda,26.6666666666667,6
000af4b7acda,00054e2e3307,23.9036144578313,415
00028a236470,001310e14dd2,1341.66666666667,12
003065a97bb7,00ae42fbe382,185.75,8
001310e14dd2,003065a97bb7,302,13
003065a97bb7,000625e449be,316.196428571429,56
003065a97bb7,0012f0a4b124,177.777777777778,18
003065a97bb7,00601d29a832,110.428571428571,7
00ae42fbe382,00601d29a832,162.5,4
000625e449be,00601d29a832,208,15
0012f0a4b124,00601d29a832,65.6666666666667,6
00601d29a832,00054e462b13,2.71428571428571,7
00601d29a832,00054e2e3307,265.071428571429,14
003065a97bb7,00042380963b,60.8888888888889,9
00042380963b,0012f0a4b124,209.285714285714,7
00054e462b13,00054e2e3307,61.5,12
001310e14dd2,00601d29a832,59.25,4
001310e14dd2,00ae42fbe382,106.25,4
000e356f1357,0014a5ad9f5b,516.714285714286,14
000625e449be,000b7daae405,685.695652173913,23
000423fc5b7f,00054e2e3307,70.5,4
0012f0ba51c0,00ae42fbe382,169,3
000423fc5b7f,0012f0e66b40,65,1
00054e462b13,000423fc5b7f,74.375,8
000cf1d99fc5,00ae42fbe382,1358,1
000cf1d99fc5,0012f0a4b124,253,2
000cf1d99fc5,000625e449be,374,7
000cf1d99fc5,00042380963b,3460,1
000cf1d99fc5,000423fc5b7f,28,1
00ae42fbe382,00042380963b,683.375,8
00ae42fbe382,000423fc5b7f,32.5,2
0012f0a4b124,000423fc5b7f,60,1
000625e449be,00042380963b,354.864864864865,37
000625e449be,000423fc5b7f,47.8,5
00042380963b,000423fc5b7f,50.6666666666667,3
