source,destination,start,fin,AP
6d:d3:23:45:a7:b0,78:21:03:a6:a7:b0,1093885204,1093885235,0
6d:d3:23:45:a7:b0,10:63:0a:51:b3:5e,1093885190,1093885375,0
6d:d3:23:45:a7:b0,a3:05:83:69:a7:b0,1093885327,1093885332,1
6d:d3:23:45:a7:b0,74:3c:0e:98:a7:b0,1093885329,1093885471,1
6d:d3:23:45:a7:b0,df:74:0d:c5:a7:b0,1093885328,1093885438,1
11:7e:5d:6b:a8:ad,38:05:21:36:a8:ad,1093885246,1093885248,0
25:84:b1:64:80:db,78:21:03:a6:80:db,1093885257,1093885267,0
6d:d3:23:45:a7:b0,95:a6:d7:b8:a7:b0,1093885320,1093885326,1
7b:b4:56:60:97:9f,25:84:b1:64:80:db,1093885388,1093885439,1
6d:d3:23:45:a7:b0,f6:ab:f2:7f:a7:b0,1093885237,1093885555,0
12:31:8c:2a:b6:b0,5b:10:0c:3f:80:db,1093885399,1093885575,1
b3:87:8d:de:b6:b0,00:0e:d7:87:e0:60,1093885535,1093885539,0
18:9d:1f:73:39:c7,25:84:b1:64:80:db,1093885206,1093885255,1
50:2b:ac:c7:b6:b0,00:0e:d7:87:e0:60,1093885537,1093885540,0
dd:3f:17:78:20:09,25:84:b1:64:80:db,1093885416,1093885445,1
55:78:da:09:b6:b0,00:0e:d7:87:e0:60,1093885513,1093885538,0
55:78:da:09:b7:2d,00:0e:d7:87:e0:60,1093885539,1093885540,0
52:75:fc:df:b7:2d,f6:ab:f2:7f:a7:b0,1093885515,1093885551,0
50:2b:ac:c7:b7:2d,00:0e:d7:87:e0:60,1093885540,1093885550,0
12:31:8c:2a:b6:b0,19:ce:55:8b:80:db,1093885397,1093885577,1
12:31:8c:2a:b6:b0,2b:80:ee:3d:80:db,1093885437,1093885543,0
55:b0:d0:7d:eb:b2,25:84:b1:64:80:db,1093885384,1093885455,1
12:31:8c:2a:b6:b0,4e:d4:4d:c0:80:db,1093885388,1093885438,1
12:31:8c:2a:b6:b0,c7:19:80:aa:80:db,1093885234,1093885616,0
12:31:8c:2a:b6:b0,aa:d4:96:a1:2b:89,1093885388,1093885435,1
12:31:8c:2a:b6:b0,82:f6:a7:b3:80:db,1093885443,1093885540,1
12:31:8c:2a:b6:b0,e5:0c:a8:c1:80:db,1093885384,1093885567,1
12:31:8c:2a:b6:b0,c9:4a:dd:33:80:db,1093885321,1093885328,0
12:31:8c:2a:b6:b0,1c:34:aa:b9:80:db,1093885500,1093885557,1
12:31:8c:2a:b6:b0,02:a8:a3:ea:80:db,1093885523,1093885557,0
6d:d3:23:45:a7:b0,56:e7:2f:eb:a7:b0,1093885611,1093885614,1
12:31:8c:2a:b6:b0,0a:fc:2f:6b:80:db,1093885535,1093885616,0
12:31:8c:2a:b6:b0,b4:4f:44:df:80:db,1093885436,1093885441,1
12:31:8c:2a:b6:b0,5b:ff:32:de:80:db,1093885353,1093885394,1
12:31:8c:2a:b6:b0,06:4f:a6:03:80:db,1093885541,1093885598,1
12:31:8c:2a:b6:b0,56:ef:82:02:80:db,1093885543,1093885599,1
6d:d3:23:45:a7:b0,0c:3c:01:af:a7:b0,1093885344,1093885573,1
12:31:8c:2a:b6:b0,aa:26:33:f6:80:db,1093885557,1093885583,1
12:31:8c:2a:b6:b0,43:c0:cf:9c:80:db,1093885486,1093885541,1
e5:e6:ea:b0:b6:b0,00:0e:d7:87:e0:60,1093885535,1093885615,0
ea:a4:8d:d9:b6:b0,00:0e:d7:87:e0:60,1093885564,1093885575,0
12:31:8c:2a:b6:b0,87:f6:90:37:80:db,1093885559,1093885577,0
12:31:8c:2a:b6:b0,26:b5:80:8a:80:db,1093885386,1093885689,1
e0:3b:f9:28:b7:2d,00:0e:d7:87:e0:60,1093885603,1093885613,0
12:31:8c:2a:b6:b0,6c:83:d3:d8:80:db,1093885577,1093885579,1
25:84:b1:64:80:db,56:e7:d9:65:80:db,1093885235,1093885611,1
12:31:8c:2a:b6:b0,83:73:2e:ba:80:db,1093885478,1093885536,1
12:31:8c:2a:b6:b0,96:e4:aa:7c:80:db,1093885428,1093885648,1
12:31:8c:2a:b6:b0,a8:8e:6b:8b:80:db,1093885352,1093885385,1
12:31:8c:2a:b6:b0,47:2f:0d:98:80:db,1093885438,1093885455,1
12:31:8c:2a:b6:b0,07:7f:05:06:80:db,1093885494,1093885598,0
12:31:8c:2a:b6:b0,85:59:f1:e1:80:db,1093885420,1093885649,1
ff:ff:ff:ff:0f:3a,ff:ff:ff:ff:ff:ff,1093885402,1093885447,0
12:31:8c:2a:b6:b0,07:ee:1f:bd:80:db,1093885401,1093885435,1
af:4b:d2:59:d4:15,f8:f3:7b:8f:52:d7,1093885378,1093885784,1
af:45:3a:59:d4:15,0b:db:fe:8f:52:d7,1093885586,1093885594,1
ff:ff:ff:ff:ff:ff,78:21:21:a7:01:6c,1093885184,1093885227,0
12:31:8c:2a:b6:b0,7d:0e:30:0b:80:db,1093885568,1093885763,0
d0:f0:ff:ff:ff:ff,25:84:b1:64:80:db,1093885708,1093885713,0
12:31:8c:2a:b6:b0,18:3c:0d:98:80:db,1093885396,1093885437,1
12:31:8c:2a:b6:b0,2a:10:0c:3f:80:db,1093885432,1093885540,1
ff:ff:ff:ff:ff:ff,a4:07:b3:76:84:a2,1093885419,1093885768,0
6d:d3:23:45:a7:b0,07:7f:00:f0:a7:b0,1093885590,1093885800,0
dc:f4:45:de:e3:32,25:84:b1:64:80:db,1093885601,1093885675,0
12:31:8c:2a:b6:b0,24:51:42:54:80:db,1093885483,1093885727,1
25:84:b1:64:80:db,ab:0b:be:91:80:db,1093885221,1093885752,0
12:31:8c:2a:b6:b0,ab:0b:be:91:80:db,1093885221,1093885754,0
6d:d3:23:45:a7:b0,9f:26:7d:9d:a7:b0,1093885366,1093885372,0
63:26:91:3c:a3:6d,6d:d3:23:45:a7:b0,1093885229,1093885505,0
ff:ff:ff:ff:ff:ff,2a:37:ca:78:1e:3c,1093885328,1093885555,0
12:31:8c:2a:b6:b0,6d:03:32:1e:80:db,1093885353,1093885854,1
12:31:8c:2a:b6:b0,ff:ae:c3:93:80:db,1093885352,1093885765,1
12:31:8c:2a:b6:b0,19:27:ab:7c:80:db,1093885429,1093885763,1
12:31:8c:2a:b6:b0,88:61:51:67:80:db,1093885356,1093885543,1
ff:ff:ff:ff:ff:ff,6b:93:b8:8a:29:3f,1093885201,1093885617,0
12:31:8c:2a:b6:b0,f6:57:85:26:80:db,1093885419,1093885435,1
25:84:b1:64:80:db,8b:17:32:cc:80:db,1093885503,1093885756,1
