source,destination,start,fin,AP
ec:c0:00:00:00:00,21:4c:b7:cd:a2:a0,1001390401,1001390474,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001390566,1001396125,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001398456,1001398473,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001390445,1001400713,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001402515,1001407919,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001402555,1001405168,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001409720,1001411523,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001412421,1001412422,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001413325,1001418737,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001418250,1001418251,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001420539,1001422342,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001424143,1001425943,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001427744,1001433148,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001434950,1001436753,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001438555,1001440354,0
00:60:1d:f8:cc:52,21:4c:b7:cd:a2:a0,1001432370,1001438384,1
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001442156,1001447556,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001444421,1001444422,0
00:60:1d:f8:cc:52,21:4c:b7:cd:a2:a0,1001443839,1001450165,1
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001450618,1001452702,0
00:40:96:c5:d0:23,21:4c:b7:cd:a2:a0,1001453156,1001453926,1
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001454720,1001454721,0
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001459225,1001459750,1
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001461662,1001462159,1
00:30:65:17:0c:68,21:4c:b7:cd:a2:a0,1001430835,1001432937,1
00:30:65:70:8c:70,21:4c:b7:cd:a2:a0,1001442797,1001476650,1
00:30:65:d5:5e:08,21:4c:b7:cd:a2:a0,1001426573,1001451808,1
00:30:65:e0:de:26,21:4c:b7:cd:a2:a0,1001464754,1001476165,1
00:40:96:4f:0c:3c,21:4c:b7:cd:a2:a0,1001390424,1001476774,0
00:40:96:55:ac:0b,21:4c:b7:cd:a2:a0,1001390459,1001476625,0
00:40:96:64:ea:03,21:4c:b7:cd:a2:a0,1001449358,1001476749,0
00:40:96:a2:fa:90,21:4c:b7:cd:a2:a0,1001390498,1001476632,0
00:40:96:a8:3c:87,21:4c:b7:cd:a2:a0,1001390595,1001476738,0
00:40:96:c5:d0:23,21:4c:b7:cd:a2:a0,1001457258,1001457377,1
00:40:96:db:52:62,21:4c:b7:cd:a2:a0,1001390534,1001476667,0
00:40:96:fe:4b:35,21:4c:b7:cd:a2:a0,1001390405,1001476703,0
00:60:1d:f8:cc:52,21:4c:b7:cd:a2:a0,1001453304,1001459706,1
08:00:2b:9e:88:99,21:4c:b7:cd:a2:a0,1001390404,1001476774,1
ec:c0:00:00:00:00,00:03:5c:ca:f8:f0,1001390405,1001476800,0
